date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-10-23,39.2225,39.422501,38.875,39.0425,37.436596,8.79372E7,8.79372E7,-0.18,-0.459,39.11333,"October 23, 17",-0.00459
2017-10-20,39.1525,39.4375,38.990002,39.0625,37.455776,9.58964E7,9.58964E7,-0.09,-0.23,39.16333,"October 20, 17",-0.0023
2017-10-19,39.1875,39.27,38.755001,38.994999,37.391045,1.703368E8,1.703368E8,-0.1925,-0.491,39.00667,"October 19, 17",-0.00491
2017-10-18,40.105,40.177502,39.900002,39.939999,38.29718,6.54968E7,6.54968E7,-0.165,-0.411,40.00583,"October 18, 17",-0.00411
2017-10-17,39.945,40.217499,39.807499,40.1175,38.467373,7.59892E7,7.59892E7,0.1725,0.432,40.0475,"October 17, 17",0.00432
2017-10-16,39.474998,40.0,39.412498,39.970001,38.325935,9.6486E7,9.6486E7,0.495,1.254,39.79417,"October 16, 17",0.01254
2017-10-13,39.182499,39.32,39.102501,39.247501,37.63316,6.55768E7,6.55768E7,0.065,0.166,39.22333,"October 13, 17",0.00166
2017-10-12,39.087502,39.342499,38.932499,39.0,37.39584,6.45004E7,6.45004E7,-0.0875,-0.224,39.09167,"October 12, 17",-0.00224
2017-10-11,38.9925,39.244999,38.9375,39.137501,37.527683,6.76224E7,6.76224E7,0.145,0.372,39.10667,"October 11, 17",0.00372
2017-10-10,39.014999,39.5,38.775002,38.974998,37.371864,6.2468E7,6.2468E7,-0.04,-0.103,39.08333,"October 10, 17",-0.00103
2017-10-09,38.952499,39.182499,38.872501,38.959999,37.357483,6.50516E7,6.50516E7,0.0075,0.019,39.005,"October 09, 17",1.9E-4
2017-10-06,38.7425,38.872501,38.639999,38.825001,37.228035,6.96304E7,6.96304E7,0.0825,0.213,38.77917,"October 06, 17",0.00213
2017-10-05,38.544998,38.860001,38.512501,38.8475,37.249611,8.51352E7,8.51352E7,0.3025,0.785,38.74,"October 05, 17",0.00785
2017-10-04,38.407501,38.465,38.115002,38.369999,36.791752,8.06552E7,8.06552E7,-0.0375,-0.098,38.31667,"October 04, 17",-9.8E-4
2017-10-03,38.502499,38.772499,38.477501,38.619999,37.031464,6.49212E7,6.49212E7,0.1175,0.305,38.62333,"October 03, 17",0.00305
2017-10-02,38.564999,38.612499,38.18,38.452499,36.870865,7.47952E7,7.47952E7,-0.1125,-0.292,38.415,"October 02, 17",-0.00292
2017-09-29,38.302502,38.532501,38.0,38.529999,36.945168,1.051992E8,1.051992E8,0.2275,0.594,38.35417,"September 29, 17",0.00594
2017-09-28,38.4725,38.57,38.174999,38.32,36.743805,8.8022E7,8.8022E7,-0.1525,-0.396,38.355,"September 28, 17",-0.00396
2017-09-27,38.450001,38.68,38.384998,38.557499,36.971531,1.020168E8,1.020168E8,0.1075,0.28,38.54083,"September 27, 17",0.0028
2017-09-26,37.945,38.48,37.922501,38.285,36.710247,1.4664E8,1.4664E8,0.34,0.896,38.22917,"September 26, 17",0.00896
2017-09-25,37.497501,37.9575,37.290001,37.637501,36.089378,1.775492E8,1.775492E8,0.14,0.373,37.62833,"September 25, 17",0.00373
2017-09-22,37.884998,38.067501,37.639999,37.9725,36.410603,1.865816E8,1.865816E8,0.0875,0.231,37.89333,"September 22, 17",0.00231
2017-09-21,38.950001,38.950001,38.1875,38.3475,36.770168,1.500468E8,1.500468E8,-0.6025,-1.547,38.495,"September 21, 17",-0.01547
2017-09-20,39.474998,39.564999,38.4575,39.017502,37.412628,2.118056E8,2.118056E8,-0.4575,-1.159,39.01333,"September 20, 17",-0.01159
2017-09-19,39.877499,39.942501,39.610001,39.682499,38.050262,8.32424E7,8.32424E7,-0.195,-0.489,39.745,"September 19, 17",-0.00489
2017-09-18,40.0275,40.125,39.5,39.6675,38.035885,1.130776E8,1.130776E8,-0.36,-0.899,39.76417,"September 18, 17",-0.00899
2017-09-15,39.6175,40.2425,39.5,39.970001,38.325935,1.964584E8,1.964584E8,0.3525,0.89,39.90417,"September 15, 17",0.0089
2017-09-14,39.747501,39.849998,39.522499,39.57,37.94239,9.50428E7,9.50428E7,-0.1775,-0.447,39.6475,"September 14, 17",-0.00447
2017-09-13,39.967499,39.990002,39.477501,39.912498,38.270802,1.796296E8,1.796296E8,-0.055,-0.138,39.79333,"September 13, 17",-0.00138
2017-09-12,40.6525,40.990002,39.692501,40.215,38.560867,2.86856E8,2.86856E8,-0.4375,-1.076,40.29917,"September 12, 17",-0.01076
2017-09-11,40.125,40.512501,39.9725,40.375,38.714279,1.263232E8,1.263232E8,0.25,0.623,40.28667,"September 11, 17",0.00623
2017-09-08,40.215,40.287498,39.6325,39.657501,38.026302,1.14446E8,1.14446E8,-0.5575,-1.386,39.85917,"September 08, 17",-0.01386
2017-09-07,40.522499,40.560001,40.09,40.314999,38.656754,8.7714E7,8.7714E7,-0.2075,-0.512,40.32167,"September 07, 17",-0.00512
2017-09-06,40.677502,40.747501,40.130001,40.477501,38.812557,8.66068E7,8.66068E7,-0.2,-0.492,40.45167,"September 06, 17",-0.00492
2017-09-05,40.9375,41.0625,40.139999,40.52,38.853317,1.17874E8,1.17874E8,-0.4175,-1.02,40.57417,"September 05, 17",-0.0102
2017-09-01,41.200001,41.235001,40.907501,41.012501,39.325558,6.63644E7,6.63644E7,-0.1875,-0.455,41.05167,"September 01, 17",-0.00455
2017-08-31,40.91,41.130001,40.869999,41.0,39.313568,1.071404E8,1.071404E8,0.09,0.22,41.0,"August 31, 17",0.0022
2017-08-30,40.950001,40.9725,40.6525,40.837502,39.157761,1.090784E8,1.090784E8,-0.1125,-0.275,40.82083,"August 30, 17",-0.00275
2017-08-29,40.025002,40.779999,40.0,40.727501,39.052284,1.180676E8,1.180676E8,0.7025,1.755,40.5025,"August 29, 17",0.01755
2017-08-28,40.035,40.5,39.982498,40.3675,38.7071,1.03864E8,1.03864E8,0.3325,0.831,40.28333,"August 28, 17",0.00831
2017-08-25,39.912498,40.139999,39.817501,39.965,38.321136,1.019204E8,1.019204E8,0.0525,0.132,39.97417,"August 25, 17",0.00132
2017-08-24,40.107498,40.185001,39.637501,39.817501,38.17971,7.92756E7,7.92756E7,-0.29,-0.723,39.88,"August 24, 17",-0.00723
2017-08-23,39.767502,40.1175,39.720001,39.994999,38.349915,7.75964E7,7.75964E7,0.2275,0.572,39.94417,"August 23, 17",0.00572
2017-08-22,39.557499,40.0,39.505001,39.945,38.301964,8.64184E7,8.64184E7,0.3875,0.98,39.81667,"August 22, 17",0.0098
2017-08-21,39.375,39.4725,38.7775,39.302502,37.685898,1.05474E8,1.05474E8,-0.0725,-0.184,39.18417,"August 21, 17",-0.00184
2017-08-18,39.465,39.875,39.18,39.375,37.755413,1.097124E8,1.097124E8,-0.09,-0.228,39.47667,"August 18, 17",-0.00228
2017-08-17,40.130001,40.177502,39.459999,39.465,37.841713,1.117624E8,1.117624E8,-0.665,-1.657,39.70083,"August 17, 17",-0.01657
2017-08-16,40.485001,40.627499,40.037498,40.237499,38.582436,1.106864E8,1.106864E8,-0.2475,-0.611,40.30083,"August 16, 17",-0.00611
2017-08-15,40.165001,40.549999,40.035,40.400002,38.738255,1.17862E8,1.17862E8,0.235,0.585,40.32833,"August 15, 17",0.00585
2017-08-14,39.830002,40.052502,39.6875,39.962502,38.318748,8.84908E7,8.84908E7,0.1325,0.333,39.90083,"August 14, 17",0.00333
2017-08-11,39.150002,39.642502,39.017502,39.369999,37.750618,1.050284E8,1.050284E8,0.22,0.562,39.34333,"August 11, 17",0.00562
2017-08-10,39.974998,40.0,38.657501,38.830002,37.232838,1.632172E8,1.632172E8,-1.145,-2.864,39.1625,"August 10, 17",-0.02864
2017-08-09,39.814999,40.317501,39.7775,40.264999,38.457779,1.04526E8,1.04526E8,0.45,1.13,40.12,"August 09, 17",0.0113
2017-08-08,39.650002,40.4575,39.567501,40.02,38.223778,1.448236E8,1.448236E8,0.37,0.933,40.015,"August 08, 17",0.00933
2017-08-07,39.264999,39.73,39.1675,39.702499,37.920532,8.74812E7,8.74812E7,0.4375,1.114,39.53333,"August 07, 17",0.01114
2017-08-04,39.017502,39.349998,38.922501,39.0975,37.342686,8.22396E7,8.22396E7,0.08,0.205,39.12333,"August 04, 17",0.00205
2017-08-03,39.262501,39.302502,38.755001,38.892502,37.146885,1.083892E8,1.083892E8,-0.37,-0.942,38.98334,"August 03, 17",-0.00942
2017-08-02,39.82,39.9375,39.040001,39.285,37.52177,2.797472E8,2.797472E8,-0.535,-1.344,39.42083,"August 02, 17",-0.01344
2017-08-01,37.275002,37.555,37.102501,37.512501,35.828819,1.414744E8,1.414744E8,0.2375,0.637,37.39,"August 01, 17",0.00637
2017-07-31,37.474998,37.5825,37.032501,37.182499,35.51363,7.93836E7,7.93836E7,-0.2925,-0.781,37.26583,"July 31, 17",-0.00781
2017-07-28,37.4725,37.557499,37.297501,37.375,35.697495,6.88548E7,6.88548E7,-0.0975,-0.26,37.41,"July 28, 17",-0.0026
2017-07-27,38.4375,38.497501,36.825001,37.639999,35.950596,1.299052E8,1.299052E8,-0.7975,-2.075,37.65417,"July 27, 17",-0.02075
2017-07-26,38.337502,38.482498,38.264999,38.365002,36.643066,6.3124E7,6.3124E7,0.0275,0.072,38.37083,"July 26, 17",7.2E-4
2017-07-25,37.950001,38.459999,37.950001,38.185001,36.471138,7.54156E7,7.54156E7,0.235,0.619,38.19833,"July 25, 17",0.00619
2017-07-24,37.645,38.110001,37.474998,38.022499,36.315933,8.59728E7,8.59728E7,0.3775,1.003,37.86917,"July 24, 17",0.01003
2017-07-21,37.497501,37.610001,37.220001,37.567501,35.881351,1.050104E8,1.050104E8,0.07,0.187,37.46583,"July 21, 17",0.00187
2017-07-20,37.875,37.935001,37.547501,37.584999,35.898067,6.89748E7,6.89748E7,-0.29,-0.766,37.68917,"July 20, 17",-0.00766
2017-07-19,37.619999,37.855,37.487499,37.755001,36.060448,8.3692E7,8.3692E7,0.135,0.359,37.69917,"July 19, 17",0.00359
2017-07-18,37.299999,37.532501,37.1675,37.52,35.835987,7.14752E7,7.14752E7,0.22,0.59,37.40667,"July 18, 17",0.0059
2017-07-17,37.205002,37.724998,37.142502,37.389999,35.711819,9.5174E7,9.5174E7,0.185,0.497,37.41917,"July 17, 17",0.00497
